,,,,,,Test Cases,,,,,,
,,,,,,,,,,,,
,Test Case Number,Name,Age,User Status,Reward Member Status,Season Bought,Product Category,Rating,Pass/Fail,Requirements Mapping,,
Example: ,Test Case #1,Mark,24,Returning,Silver,Spring,Electronics,5,Pass,1.1,,
,,,,,,,,,,,,
,Test Case #1,MarkDev,24,Returning,Silver,Spring,Electronics,5,Pass | Pass | Pass | Pass,1 | 1.1 | 1.2 | 1.3,,
,Test Case #2,12123,24,Returning,Silver,Spring,Electronics,6,Pass | Fail,1 | 8,,
,Test Case #3,Mark,24,Returning,Silver,Spring,Electronics,7,Pass | Fail,1.1 | 8,,
,Test Case #4,MarkDeveloper,24,Returning,Silver,Spring,Electronics,5,Fail | Fail,1.1 | 8,,
,Test Case #5,Mark10,24,Returning,Silver,Spring,Electronics,5,Pass | Pass,1.2 | 8,,
,Test Case #6,Mark-Dev,24,Retrurning,Silver,Spring,Electronics,5,Pass | Pass,1.3 | 8,,
,Test Case #7,Mark_Dev,24,Returning,Silver,Spring,Electronics,5,Fail | Fail,1.3 | 8,,
,Test Case #8,MarkD,17,Returning,Silver,Spring,Electronics,5,Pass |Fail | Fail,2|2.1 | 8,,
,Test Case #9,MarkD,18,Returning,Silver,Spring,Electronics,5,Pass,2 | 2.1,,
,Test Case #10,MarkD,eigtheen,Returning,Silver,Spring,Electronics,5,Pass |Fail,2 | 8,,
,Test Case #11,MarkD,20,Returning,Silver,Spring,Electronics,0,Fail | Fail,7.1|8,,
,Test Case #12,MarkD,20,Returning,Silver,Spring,Electronics,1,Pass | Pass,7 |7.1,,
,Test Case #13,MarkD,20,Returning,Silver,Spring,Electronics,10,Pass,7.1,,
,Test Case #14,MarkD,20,Returning,Silver,Spring,Electronics,11,Pass | Pass,7.1 | 8,,
,Test Case #15,MarkD,20,Returning,Silver,Spring,Electronics,good,Pass | Fail,7 | 8,,
,Test Case #16,MarkD,21,New,Gold,Fall,Electronics,7,Fail,9.1,,
,Test Case #17,MarkD,21,Returning,Gold,Summer,Unknown,7,Pass | Pass,9.2 | 9.7,,
,Test Case #18,MarkD,22,Returning ,Silver,Summer,Unknown,8,Fail | Fail,9.2 | 9.7,,
,Test Case #19,MarkD,21,Returning ,Gold,Summer,Electronics,7,Pass,9.3.1,,
,Test Case #20,MarkD,21,Returning,Bronze,Spring,Electronics,7,Fail,9.4.1,,
,Test Case #21,MarkD,21,Returning,Gold,Winter,Electronics,7,Fail,9.5.1,,
,Test Case #22,MarkD,21,Returning,Silver,Fall,Electronics,7,Fail,9.6.1,,
,Test Case #23,MarkD,21,Returning,Gold,Spring,Electroncs,7,Pass,9.7,,
,Test Case #24,MarkD,21,Returning ,Gold,Fall,Electronics,7,Fail,9.7,,
,Test Case #25,MarkD,21,Returning,Silver,Summer,Electronics,7,Pass,9.7,,
